epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,571.41,0.46624,0.28562,0.82481,0.99497,0.98532,0.99468,0.93722,0.35583,0.23079,0.77178,0.006535,0.006535,0.006535
44,583.486,0.46436,0.28571,0.82454,0.99374,0.98466,0.99448,0.95939,0.27837,0.2114,0.76626,0.0064525,0.0064525,0.0064525
45,595.368,0.47457,0.28808,0.82447,0.995,0.9887,0.99492,0.96454,0.27683,0.19888,0.76566,0.00637,0.00637,0.00637
46,607.575,0.4654,0.2839,0.8225,0.99317,0.98562,0.99455,0.96134,0.27375,0.25491,0.76623,0.0062875,0.0062875,0.0062875
47,619.595,0.46424,0.28123,0.82475,0.99244,0.98198,0.99437,0.95867,0.27833,0.20942,0.76931,0.006205,0.006205,0.006205
48,631.532,0.45733,0.27936,0.82462,0.99478,0.9868,0.99477,0.96159,0.26853,0.20109,0.76518,0.0061225,0.0061225,0.0061225
49,643.477,0.46497,0.28309,0.82405,0.99555,0.98853,0.99492,0.9526,0.30844,0.20226,0.76758,0.00604,0.00604,0.00604
50,669.916,0.4455,0.27284,0.82194,0.99518,0.98775,0.99488,0.95749,0.30693,0.19509,0.76687,0.0059575,0.0059575,0.0059575
51,682.185,0.44815,0.27426,0.82109,0.99485,0.98139,0.99358,0.96511,0.27478,0.1989,0.76806,0.005875,0.005875,0.005875
52,694.278,0.45998,0.28077,0.82191,0.88099,0.86231,0.93876,0.87168,0.41057,0.46647,0.81656,0.0057925,0.0057925,0.0057925
53,706.024,0.47153,0.28545,0.82374,0.99699,0.98502,0.99481,0.96342,0.28692,0.19128,0.76595,0.00571,0.00571,0.00571
54,719.812,0.43544,0.26688,0.81805,0.99203,0.9781,0.99315,0.94799,0.30944,0.2502,0.77106,0.0056275,0.0056275,0.0056275
55,731.727,0.44154,0.26773,0.82032,0.99468,0.99039,0.99491,0.96611,0.27201,0.18274,0.76369,0.005545,0.005545,0.005545
56,743.96,0.44187,0.2696,0.82105,0.98635,0.96159,0.98906,0.94848,0.29225,0.25256,0.77398,0.0054625,0.0054625,0.0054625
57,756.247,0.45724,0.27559,0.82283,0.99003,0.97016,0.99002,0.95556,0.27113,0.25411,0.7718,0.00538,0.00538,0.00538
58,768.17,0.44619,0.26623,0.8196,0.9966,0.98924,0.99495,0.9705,0.24759,0.17913,0.76168,0.0052975,0.0052975,0.0052975
59,780.174,0.48582,0.2804,0.82379,0.99424,0.98812,0.99488,0.96676,0.2596,0.18818,0.76353,0.005215,0.005215,0.005215
60,791.946,0.43947,0.26654,0.81848,0.99619,0.99134,0.99496,0.97161,0.25328,0.17974,0.76166,0.0051325,0.0051325,0.0051325
61,803.735,0.42887,0.26228,0.81772,0.99458,0.98738,0.99478,0.96736,0.26233,0.18131,0.76419,0.00505,0.00505,0.00505
62,815.675,0.44045,0.26523,0.81812,0.99564,0.98361,0.9947,0.96532,0.26529,0.18956,0.76514,0.0049675,0.0049675,0.0049675
63,828.746,0.44297,0.26498,0.81865,0.9966,0.99018,0.99495,0.96979,0.24609,0.17777,0.76144,0.004885,0.004885,0.004885
64,843.434,0.43814,0.26376,0.8189,0.99451,0.98111,0.99437,0.95963,0.28164,0.19973,0.7682,0.0048025,0.0048025,0.0048025
65,855.371,0.43255,0.2621,0.81754,0.99464,0.98856,0.99491,0.96567,0.2721,0.17904,0.76341,0.00472,0.00472,0.00472
66,867.138,0.43251,0.26024,0.81644,0.99646,0.9898,0.99495,0.96544,0.27302,0.17954,0.76425,0.0046375,0.0046375,0.0046375
67,878.91,0.42519,0.25699,0.81627,0.99093,0.97434,0.9917,0.96296,0.2538,0.2232,0.76812,0.004555,0.004555,0.004555
68,890.716,0.41927,0.25583,0.81629,0.99644,0.98431,0.99476,0.96419,0.29264,0.18443,0.76622,0.0044725,0.0044725,0.0044725
69,902.611,0.43601,0.26093,0.81549,0.99486,0.98323,0.99457,0.93944,0.35986,0.2043,0.77143,0.00439,0.00439,0.00439
70,914.673,0.42973,0.25972,0.81616,0.99514,0.98532,0.99478,0.96636,0.26746,0.17726,0.76314,0.0043075,0.0043075,0.0043075
71,926.277,0.43391,0.25839,0.81767,0.99632,0.99105,0.99497,0.97828,0.23359,0.16971,0.76033,0.004225,0.004225,0.004225
72,938.392,0.42686,0.25901,0.81562,0.99495,0.99228,0.99496,0.97165,0.24363,0.17038,0.76057,0.0041425,0.0041425,0.0041425
73,951.88,0.42751,0.25792,0.8182,0.99806,0.98865,0.99496,0.97221,0.23989,0.1669,0.76046,0.00406,0.00406,0.00406
74,963.772,0.40773,0.24677,0.81424,0.99709,0.99218,0.99498,0.97509,0.23381,0.16898,0.75955,0.0039775,0.0039775,0.0039775
75,975.591,0.42778,0.25574,0.81608,0.9976,0.99291,0.99498,0.97571,0.23004,0.16104,0.75942,0.003895,0.003895,0.003895
76,987.378,0.41225,0.25016,0.81596,0.9969,0.99141,0.99498,0.97449,0.25041,0.16482,0.76203,0.0038125,0.0038125,0.0038125
77,999.461,0.41568,0.25018,0.81585,0.99518,0.98238,0.99459,0.96972,0.24522,0.18567,0.76415,0.00373,0.00373,0.00373
78,1011.47,0.4161,0.24994,0.8142,0.97978,0.96253,0.98861,0.94292,0.3072,0.2715,0.78266,0.0036475,0.0036475,0.0036475
79,1026.34,0.42117,0.25373,0.81638,0.99719,0.9913,0.99498,0.97021,0.25262,0.16575,0.76172,0.003565,0.003565,0.003565
80,1038.31,0.41652,0.24929,0.81559,0.99752,0.99282,0.99499,0.98036,0.21626,0.1544,0.75838,0.0034825,0.0034825,0.0034825
81,1050.18,0.41302,0.24825,0.8149,0.99722,0.98894,0.99495,0.97767,0.23169,0.1634,0.76041,0.0034,0.0034,0.0034
82,1062.32,0.40974,0.24835,0.81481,0.99548,0.99033,0.99494,0.97156,0.2454,0.16394,0.76134,0.0033175,0.0033175,0.0033175
83,1085.49,0.41067,0.24742,0.8156,0.99734,0.9921,0.99498,0.97878,0.22391,0.15601,0.75866,0.003235,0.003235,0.003235
84,1097.6,0.41486,0.24778,0.81408,0.99705,0.99279,0.99498,0.97493,0.21845,0.16426,0.75993,0.0031525,0.0031525,0.0031525
85,1113.04,0.39939,0.24208,0.81301,0.99751,0.98958,0.99496,0.97057,0.27112,0.17293,0.76234,0.00307,0.00307,0.00307
86,1124.89,0.39783,0.24102,0.81248,0.99734,0.99195,0.99498,0.97889,0.219,0.15217,0.75808,0.0029875,0.0029875,0.0029875
87,1136.95,0.41033,0.2445,0.8148,0.99553,0.99163,0.99495,0.97581,0.22544,0.15753,0.75826,0.002905,0.002905,0.002905
88,1148.82,0.40315,0.24248,0.81241,0.99612,0.9926,0.99497,0.9707,0.25689,0.16621,0.76141,0.0028225,0.0028225,0.0028225
89,1161.02,0.41055,0.24569,0.81307,0.99667,0.99068,0.99497,0.97201,0.24809,0.16129,0.76111,0.00274,0.00274,0.00274
90,1172.93,0.39131,0.23646,0.81046,0.99635,0.99088,0.99496,0.97642,0.22296,0.15764,0.75879,0.0026575,0.0026575,0.0026575
91,1185.08,0.39012,0.23648,0.8115,0.99738,0.99221,0.99498,0.97562,0.24905,0.16208,0.7604,0.002575,0.002575,0.002575
92,1197.05,0.40581,0.24346,0.8152,0.99701,0.9928,0.99498,0.97771,0.23895,0.15538,0.75966,0.0024925,0.0024925,0.0024925
93,1221.08,0.41242,0.24542,0.81313,0.99788,0.99126,0.99499,0.97537,0.21604,0.15214,0.75854,0.00241,0.00241,0.00241
94,1234.43,0.3966,0.23736,0.8099,0.99817,0.99025,0.99498,0.97668,0.21959,0.15671,0.75851,0.0023275,0.0023275,0.0023275
95,1246.44,0.39223,0.23528,0.80987,0.99738,0.99218,0.99499,0.97658,0.22877,0.15169,0.75828,0.002245,0.002245,0.002245
96,1271.95,0.38905,0.23366,0.81008,0.99712,0.99329,0.99499,0.97598,0.23227,0.15229,0.75852,0.0021625,0.0021625,0.0021625
97,1283.91,0.41456,0.24513,0.81513,0.99636,0.99229,0.99498,0.97182,0.25283,0.16081,0.76096,0.00208,0.00208,0.00208
98,1296.08,0.3919,0.23563,0.8111,0.99731,0.99355,0.99499,0.97846,0.20356,0.14273,0.75745,0.0019975,0.0019975,0.0019975
99,1313.65,0.38915,0.23294,0.81161,0.99691,0.99224,0.99498,0.97811,0.21141,0.14777,0.75743,0.001915,0.001915,0.001915
100,1325.54,0.39444,0.23615,0.81241,0.99814,0.99355,0.99499,0.97633,0.2304,0.15211,0.7586,0.0018325,0.0018325,0.0018325
